userid,nickname,gender,fans,follows,liked&collected
599ea4096a6a6959d8818d4b,taoz桃子酱,2,44926,395,214169
58dcbec45e87e7515f899a1c,我是哈妮妹啊,2,44747,73,62235
5ab0ce2d11be102f2728f45a,王晓晨,1,44680,0,12835
5b0ebabde8ac2b09be249738,柳岩,1,44612,1,19725
5ac70261e8ac2b16d42f418b,我是仙女椰,1,44452,46,93147
59b7cdea5e87e71c0e87e906,此次野花金子,2,44364,39,521192
5aba1c80e8ac2b136cd4fd22,L娜,1,44131,584,34695
567cc0c2e4251d156fdc5215,crystal方老板,1,44023,330,110623
59996d155e87e75d1b3cf516,是麻吉少女,1,43868,123,329634
5afac6e511be104ac77348b1,董成-Alger,0,43757,31,30864
55868563e58d133ef0d83925,sevenrain,2,43133,283,179961
5aa14f8611be10097d0c20ae,猫抖抖,1,42767,117,278807
576f640782ec395810a15bec,张佳宁Karlina,2,42738,0,24275
57e0ee6282ec390eeb748d61,Monchhi懵_,1,42374,10,46448
